Mental Health Issue,HIV/AIDS,Tobacco Use,Alcohol Use,Access to Mental Health Services,Access to SRH Education,Physical Activity,Overweight/Obesity,Age Group,Education Level,Coping Mechanism
0.36,0.014,0.11,0.2,0.077,0.48,0.25,0.1,21-25,No Formal Education,Seeking Help
0.25,0.016,0.04,0.17,0.075,0.63,0.36,0.08,15-20,Secondary,Socializing
0.3,0.022,0.13,0.06,0.061,0.77,0.15,0.01,21-25,Secondary,Isolation
0.08,0.016,0.18,0.2,0.031,0.63,0.21,0.04,15-20,Tertiary,Seeking Help
0.44,0.027,0.17,0.1,0.008,0.67,0.44,0.13,26-30,Primary,Socializing
0.38,0.017,0.11,0.15,0.005,0.68,0.45,0.0,21-25,Tertiary,Seeking Help
0.1,0.019,0.11,0.2,0.062,0.67,0.29,0.19,21-25,Primary,Seeking Help
0.28,0.023,0.09,0.25,0.063,0.58,0.47,0.01,15-20,Tertiary,Exercise
0.36,0.017,0.1,0.21,0.076,0.64,0.35,0.09,21-25,Tertiary,Substance Use
0.34,0.026,0.15,0.17,0.023,0.52,0.19,0.14,26-30,Primary,Exercise
0.33,0.019,0.14,0.12,0.038,0.73,0.43,0.23,26-30,Secondary,Isolation
0.37,0.022,0.11,0.17,0.036,0.62,0.4,0.15,21-25,Primary,Socializing
0.28,0.019,0.13,0.2,0.053,0.5,0.49,0.05,15-20,Tertiary,Socializing
0.25,0.02,0.15,0.12,0.064,0.76,0.48,0.14,15-20,Secondary,Seeking Help
0.34,0.017,0.1,0.11,0.062,0.82,0.15,0.06,21-25,No Formal Education,Substance Use
0.24,0.018,0.12,0.11,0.054,0.61,0.45,0.08,21-25,Primary,Socializing
0.35,0.018,0.09,0.14,0.0,0.45,0.29,0.1,26-30,No Formal Education,Isolation
0.31,0.021,0.12,0.16,0.06,0.65,0.43,0.13,15-20,Secondary,Substance Use
0.35,0.014,0.14,0.15,0.052,0.41,0.41,0.16,21-25,Secondary,Substance Use
0.38,0.022,0.09,0.16,0.066,0.45,0.39,0.19,26-30,Secondary,Seeking Help
0.45,0.023,0.11,0.09,0.066,0.7,0.3,0.07,26-30,Secondary,Exercise
0.31,0.026,0.09,0.13,0.0,0.62,0.46,0.1,26-30,Secondary,Seeking Help
0.26,0.019,0.12,0.15,0.054,0.55,0.58,0.15,15-20,Secondary,Socializing
0.27,0.021,0.06,0.13,0.008,0.81,0.37,0.06,21-25,Secondary,Exercise
0.38,0.017,0.11,0.15,0.101,0.56,0.41,0.17,21-25,Primary,Exercise
0.29,0.027,0.14,0.09,0.026,0.6,0.49,0.13,21-25,Primary,Socializing
0.38,0.017,0.06,0.11,0.068,0.79,0.32,0.01,21-25,Tertiary,Socializing
0.31,0.021,0.14,0.04,0.052,0.59,0.46,0.1,21-25,Secondary,Socializing
0.43,0.029,0.19,0.11,0.063,0.57,0.41,0.06,15-20,Tertiary,Seeking Help
0.33,0.024,0.11,0.2,0.028,0.7,0.52,0.14,21-25,Tertiary,Seeking Help
0.23,0.011,0.12,0.12,0.052,0.45,0.49,0.16,21-25,Primary,Socializing
0.43,0.019,0.07,0.18,0.074,0.63,0.4,0.18,26-30,No Formal Education,Seeking Help
0.24,0.021,0.11,0.11,0.039,0.68,0.42,0.06,26-30,Tertiary,Exercise
0.22,0.014,0.13,0.27,0.037,0.62,0.36,0.09,21-25,Primary,Socializing
0.35,0.031,0.13,0.17,0.05,0.71,0.39,0.1,15-20,Primary,Exercise
0.21,0.011,0.11,0.28,0.076,0.53,0.54,0.11,26-30,Tertiary,Socializing
0.32,0.025,0.11,0.16,0.063,0.79,0.53,0.09,15-20,Secondary,Seeking Help
0.31,0.02,0.1,0.17,0.067,0.53,0.32,0.17,21-25,Primary,Isolation
0.33,0.016,0.11,0.17,0.06,0.69,0.52,0.14,26-30,Primary,Substance Use
0.52,0.023,0.11,0.08,0.041,0.62,0.32,0.13,26-30,Tertiary,Isolation
0.36,0.018,0.1,0.2,0.037,0.7,0.37,0.08,26-30,Secondary,Seeking Help
